name	version
NM_000014	5
NM_000015	3
NM_000016	5
NM_000017	4
NM_000018	4
NM_000019	4
NM_000020	2
NM_000021	4
NM_000022	4
NM_000023	4
NM_000024	5
NM_000025	3
NM_000026	4
NM_000027	4
NM_000028	2
NM_000029	4
NM_000030	3
NM_000031	6
NM_000032	5
NM_000033	4
NM_000035	4
NM_000036	2
NM_000037	4
NM_000038	6
NM_000039	2
NM_000040	3
NM_000041	4
NM_000042	3
NM_000043	6
NM_000044	6
NM_000045	4
NM_000046	5
NM_000047	2
NM_000048	4
NM_000049	3
NM_000050	4
NM_000051	3
NM_000052	7
NM_000053	4
NM_000054	6
NM_000055	4
NM_000056	4
NM_000057	4
NM_000059	3
NM_000061	2
NM_000062	2
NM_000063	6
NM_000064	4
NM_000065	4
NM_000066	4
NM_000067	3
NM_000068	4
NM_000069	3
NM_000070	3
NM_000071	2
NM_000072	3
NM_000073	2
NM_000074	2
NM_000075	4
NM_000076	2
NM_000077	4
NM_000078	3
NM_000079	3
NM_000080	4
NM_000081	3
NM_000082	3
NM_000083	3
NM_000084	5
NM_000085	4
NM_000086	2
NM_000087	4
NM_000088	3
NM_000089	3
NM_000090	3
NM_000091	4
NM_000092	4
NM_000093	4
NM_000094	3
NM_000095	3
NM_000096	4
NM_000097	7
NM_000098	3
NM_000099	4
NM_000100	3
NM_000101	4
NM_000102	4
NM_000103	4
NM_000104	3
NM_000106	6
NM_000107	2
NM_000108	5
NM_000109	4
NM_000110	3
NM_000111	2
NM_000112	3
NM_000113	3
NM_000115	5
NM_000116	5
NM_000117	2
NM_000118	3
NM_000119	3
NM_000120	4
NM_000121	4
NM_000122	1
NM_000123	3
NM_000124	4
NM_000125	3
NM_000126	4
NM_000127	2
NM_000128	3
NM_000129	3
NM_000130	4
NM_000131	4
NM_000132	3
NM_000133	3
NM_000134	4
NM_000135	4
NM_000136	3
NM_000137	3
NM_000138	4
NM_000139	5
NM_000140	4
NM_000141	4
NM_000142	4
NM_000143	3
NM_000144	5
NM_000145	3
NM_000146	4
NM_000147	4
NM_000148	3
NM_000149	3
NM_000150	2
NM_000151	4
NM_000152	5
NM_000153	4
NM_000154	2
NM_000155	4
NM_000156	6
NM_000157	4
NM_000158	4
NM_000159	4
NM_000160	5
NM_000161	3
NM_000162	5
NM_000163	5
NM_000164	4
NM_000165	5
NM_000166	6
NM_000167	5
NM_000168	6
NM_000169	2
NM_000170	2
NM_000171	4
NM_000172	4
NM_000173	7
NM_000174	4
NM_000175	5
NM_000176	3
NM_000177	5
NM_000178	4
NM_000179	2
NM_000180	3
NM_000181	4
NM_000182	5
NM_000183	3
NM_000184	3
NM_000185	4
NM_000186	3
NM_000187	4
NM_000188	2
NM_000189	4
NM_000190	4
NM_000191	3
NM_000192	3
NM_000193	4
NM_000194	3
NM_000195	5
NM_000196	4
NM_000197	2
NM_000198	4
NM_000199	5
NM_000200	3
NM_000201	3
NM_000202	8
NM_000203	5
NM_000204	4
NM_000206	2
NM_000207	3
NM_000208	4
NM_000209	4
NM_000210	4
NM_000211	5
NM_000212	2
NM_000213	5
NM_000214	3
NM_000215	3
NM_000216	4
NM_000217	3
NM_000218	2
NM_000219	6
NM_000220	5
NM_000221	3
NM_000222	2
NM_000223	4
NM_000224	3
NM_000226	4
NM_000227	5
NM_000228	3
NM_000229	2
NM_000230	3
NM_000231	2
NM_000232	4
NM_000233	4
NM_000234	3
NM_000235	4
NM_000236	3
NM_000237	3
NM_000238	3
NM_000239	2
NM_000240	3
NM_000242	2
NM_000243	2
NM_000244	3
NM_000245	4
NM_000246	3
NM_000247	3
NM_000248	3
NM_000249	3
NM_000250	2
NM_000251	2
NM_000252	2
NM_000253	3
NM_000254	2
NM_000255	4
NM_000256	3
NM_000257	4
NM_000258	2
NM_000259	3
NM_000260	4
NM_000261	2
NM_000262	3
NM_000263	4
NM_000264	4
NM_000265	6
NM_000266	4
NM_000267	3
NM_000268	3
NM_000269	2
NM_000270	3
NM_000271	5
NM_000272	4
NM_000273	3
NM_000274	3
NM_000275	3
NM_000276	4
NM_000277	3
NM_000278	5
NM_000280	4
NM_000281	4
NM_000282	4
NM_000283	3
NM_000284	4
NM_000285	4
NM_000286	3
NM_000287	4
NM_000288	4
NM_000289	6
NM_000290	4
NM_000291	4
NM_000292	3
NM_000293	3
NM_000294	3
NM_000295	5
NM_000296	4
NM_000297	4
NM_000298	6
NM_000299	3
NM_000300	4
NM_000301	3
NM_000302	4
NM_000303	3
NM_000304	4
NM_000305	3
NM_000306	4
NM_000307	5
NM_000308	3
NM_000309	5
NM_000310	3
NM_000311	5
NM_000312	3
NM_000313	3
NM_000314	7
NM_000315	4
NM_000316	3
NM_000317	3
NM_000318	3
NM_000319	4
NM_000320	3
NM_000321	2
NM_000322	5
NM_000324	2
NM_000325	6
NM_000326	5
NM_000327	3
NM_000328	3
NM_000329	3
NM_000330	3
NM_000331	5
NM_000332	3
NM_000333	3
NM_000334	4
NM_000335	4
NM_000336	3
NM_000337	5
NM_000338	2
NM_000339	3
NM_000340	2
NM_000341	4
NM_000342	4
NM_000343	4
NM_000344	3
NM_000345	4
NM_000346	4
NM_000348	4
NM_000349	3
NM_000350	3
NM_000351	6
NM_000352	5
NM_000353	3
NM_000354	6
NM_000355	4
NM_000356	4
NM_000358	3
NM_000359	3
NM_000360	4
NM_000361	2
NM_000362	4
NM_000363	5
NM_000364	4
NM_000365	5
NM_000366	6
NM_000367	4
NM_000368	4
NM_000369	3
NM_000370	3
NM_000371	3
NM_000372	5
NM_000373	4
NM_000374	5
NM_000375	3
NM_000376	3
NM_000377	2
NM_000378	6
NM_000379	4
NM_000380	3
NM_000381	4
NM_000382	3
NM_000383	4
NM_000384	3
NM_000386	4
NM_000387	6
NM_000388	4
NM_000389	5
NM_000390	4
NM_000391	4
NM_000392	5
NM_000393	5
NM_000394	4
NM_000395	3
NM_000396	4
NM_000397	3
NM_000398	7
NM_000399	5
NM_000400	3
NM_000401	3
NM_000402	4
NM_000403	4
NM_000404	4
NM_000405	5
NM_000406	2
NM_000407	4
NM_000408	5
NM_000409	4
NM_000410	3
NM_000411	8
NM_000412	4
NM_000413	4
NM_000414	4
NM_000415	3
NM_000416	2
NM_000417	2
NM_000418	4
NM_000419	5
NM_000420	3
NM_000421	4
NM_000422	3
NM_000423	3
NM_000424	4
NM_000425	5
NM_000426	3
NM_000427	3
NM_000428	3
NM_000429	3
NM_000430	4
NM_000431	4
NM_000432	3
NM_000433	3
NM_000434	4
NM_000435	3
NM_000436	4
NM_000437	4
NM_000438	6
NM_000439	5
NM_000440	3
NM_000441	2
NM_000442	5
NM_000443	4
NM_000444	6
NM_000445	5
